customer_id,address,postcode,state,country,property_valuation,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,transaction_id,product_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,customer_type,name
177.0,82520 Mifflin Drive,2333,NSW,Australia,5,Ondrea,Pablos,Female,25,1989-11-09 00:00:00,Professor,Financial Services,High Net Worth,N,No,4.0,1206.0,49.0,2017-07-07,False,Approved,Solex,Standard,medium,large,1061.56,$733.58,34170.0,old,Ondrea Pablos
177.0,82520 Mifflin Drive,2333,NSW,Australia,5,Ondrea,Pablos,Female,25,1989-11-09 00:00:00,Professor,Financial Services,High Net Worth,N,No,4.0,1924.0,28.0,2017-05-18,True,Approved,Solex,Road,medium,small,1703.52,"$1,516.13",40649.0,old,Ondrea Pablos
177.0,82520 Mifflin Drive,2333,NSW,Australia,5,Ondrea,Pablos,Female,25,1989-11-09 00:00:00,Professor,Financial Services,High Net Worth,N,No,4.0,4808.0,86.0,2017-10-15,True,Approved,Norco Bicycles,Road,high,large,774.53,$464.72,37698.0,old,Ondrea Pablos
177.0,82520 Mifflin Drive,2333,NSW,Australia,5,Ondrea,Pablos,Female,25,1989-11-09 00:00:00,Professor,Financial Services,High Net Worth,N,No,4.0,6181.0,84.0,2017-02-07,False,Approved,Giant Bicycles,Road,medium,medium,792.9,$594.68,33879.0,old,Ondrea Pablos
177.0,82520 Mifflin Drive,2333,NSW,Australia,5,Ondrea,Pablos,Female,25,1989-11-09 00:00:00,Professor,Financial Services,High Net Worth,N,No,4.0,7495.0,92.0,2017-08-16,False,Approved,WeareA2B,Touring,medium,large,1890.39,$260.14,33259.0,old,Ondrea Pablos
177.0,82520 Mifflin Drive,2333,NSW,Australia,5,Ondrea,Pablos,Female,25,1989-11-09 00:00:00,Professor,Financial Services,High Net Worth,N,No,4.0,8293.0,91.0,2017-06-01,True,Cancelled,WeareA2B,Standard,low,medium,642.31,$513.85,41922.0,old,Ondrea Pablos
177.0,82520 Mifflin Drive,2333,NSW,Australia,5,Ondrea,Pablos,Female,25,1989-11-09 00:00:00,Professor,Financial Services,High Net Worth,N,No,4.0,9213.0,61.0,2017-09-23,False,Approved,Norco Bicycles,Standard,medium,small,586.45,$521.94,33429.0,old,Ondrea Pablos
177.0,82520 Mifflin Drive,2333,NSW,Australia,5,Ondrea,Pablos,Female,25,1989-11-09 00:00:00,Professor,Financial Services,High Net Worth,N,No,4.0,11682.0,23.0,2017-11-23,False,Approved,Norco Bicycles,Standard,medium,medium,1198.46,$381.10,36145.0,old,Ondrea Pablos
177.0,82520 Mifflin Drive,2333,NSW,Australia,5,Ondrea,Pablos,Female,25,1989-11-09 00:00:00,Professor,Financial Services,High Net Worth,N,No,4.0,12925.0,99.0,2017-08-16,False,Approved,Trek Bicycles,Road,low,small,1720.7,"$1,531.42",38991.0,old,Ondrea Pablos
177.0,82520 Mifflin Drive,2333,NSW,Australia,5,Ondrea,Pablos,Female,25,1989-11-09 00:00:00,Professor,Financial Services,High Net Worth,N,No,4.0,16493.0,19.0,2017-06-20,True,Approved,Trek Bicycles,Mountain,low,medium,574.64,$459.71,40784.0,old,Ondrea Pablos
